display_name,wallet_id,action_bucket,action_rationale,is_hft_like,is_copy_positive,pma_copy_combined_net_30s,avg_copy_edge_net_30s,combined_realized_plus_mtm_pnl_usdc_est,combined_realized_pnl_usdc_est,unresolved_open_mtm_net_pnl_usdc,unresolved_open_forward_30d_net_pnl_usdc,recent_trades_window,recent_sell_share,fast_exit_share_30s,median_holding_seconds,notes
0x53_candidate,0x53ecc53e7a69aad0e6dda60264cc2e363092df91,copy_ready,best_overall_copyable_candidate,False,True,32953.89245105571,0.1930316015625,22895.00056664452,6122.68699681245,16772.31356983207,25962.072372971706,106.0,0.03773584905660377,0.0,261518.0,manually approved sports-style long holder
sbinnala,0xc483ee2ce773ae281131382ecc6285c968b88ac8,copy_ready,copyable_and_not_hft,False,True,16371.906666161754,,-646.1556949106637,737.8352818143201,-1383.9909767249837,-1486.0698017249833,,,,,manually approved; local current-market match but thin local coverage
SnowballHustle,0xe36296a42555b95e95880412387e954d84b0bd00,copy_ready,copyable_and_not_hft,False,True,15644.365709365387,,8356.545983478507,8305.960650900744,50.585332577763396,1.3452480000000002,,,,,manually approved; stable pnl profile
MikeMoore,0x5d2f49295387e01a49f0a3e59449ceed791c4adb,copy_ready,copyable_and_not_hft,False,True,15236.546211421617,,-3310.298811250883,-2989.6960889241705,-320.6027223267126,-367.9318173596,,,,,manually approved; stable pnl profile
PetrGrepl,0xe7590338d435112c032e3ea51ff3d08a27a1e7ca,copy_ready,copyable_and_not_hft,False,True,5820.7732841247,,3701.9603872077632,3543.6808497002253,158.27953750753815,,,,,,manually approved; election-cycle specialist candidate
ELICHOU,0x312bcca3bc77bdc1d37dc6db5b9c1493de61cafe,copy_ready,copyable_and_not_hft,False,True,3381.7821593249446,,-2599.2862328085503,94.3630398666618,-2693.649272675212,590.0016503798149,,,,,manually approved despite frequent sells; review as active discretionary trader
aikko,0x68d1b156197fc516c56fc95d325b3716322c3c4d,copy_ready,copyable_and_not_hft,False,True,2656.9213393291398,,-1382.6302417296617,56.98308706663925,-1439.613328796301,-1398.8317210843493,,,,,manually approved; local current-market match but very thin local coverage
RobertoRubio,0x3c4c03892f47d3166ee049a48a73d4743a17dd95,copy_ready,copyable_and_not_hft,False,True,1282.9768365382733,,-7176.437382014097,-712.8974828511527,-6463.5398991629445,,,,,,manually approved; stable pnl profile
0x77_candidate,0x77fd7aec1952ea7d042a6eec83bc4782f67db6c8,monitor,copy_signal_conflict_needs_more_validation,False,True,-4701.401435508163,0.10822771484375,933.0762682187337,382.82122267180233,550.2550455469313,271.84957614999996,42.0,0.35714285714285715,0.0,584304.0,manually approved politics-style candidate
Kickstand7,0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,monitor,crowded_reference_not_primary,False,False,,,73330.36697974277,59039.923271501844,14290.443708240922,376.00132681790274,,,,,manually approved but likely already crowded / copy-traded
Melody626,0xecaa8806a9a05049d7d5260a33dc924220e377a9,avoid,copyability_failed,False,False,-128192.28254718459,,-36499.353175220014,-52627.85190328502,16128.498728065008,-1646.459570616065,,,,,manually approved; sports-focused candidate
Gambler1968,0x7a6192ea6815d3177e978dd3f8c38be5f575af24,avoid,insufficient_copyable_edge,False,False,,,28.353,28.353,,,,,,,manually approved; broad politics/geopolitics specialist candidate
ppp22232,0x5d7639ed5fd3c5ebf0fc69d548e1046acd0f9168,avoid,insufficient_copyable_edge,False,False,,,-1693.4431558988877,-2200.198404806636,506.7552489077483,,,,,,manually approved; interesting discretionary candidate
LuckyNFT444,0x4bac379da2f29d87c01ff737843e396a2cec02b1,avoid,insufficient_copyable_edge,False,False,,-0.0110230312499999,-4556.461602265591,-115.8865094609997,-4440.575092804591,,55.0,0.7454545454545455,0.0,117527.0,manually approved; current local metrics disagree with manual view and should be rechecked
